"Gene","C1F","C1M","C2F","C2M","C3F","T1F","T1M","T2F","T2M","T3F"
"ENSMUSG00000000001",2427.24927196793,2922.04956617773,2742.09897963619,3298.12947786339,2695.68521219507,2995.61155755013,2855.7736553046,2922.63862018547,3102.6453020654,2728.28880388104
"ENSMUSG00000000028",113.162880324008,147.08027783154,142.19299438003,212.715252660861,177.958412319838,152.087143513001,144.942432286922,148.052265199748,219.507703687072,226.177948046896
"ENSMUSG00000000037",37.4912900724901,48.1260326198225,23.2643604161494,36.8921668191972,32.5206366187355,13.3226899349423,55.429765294466,26.3500619988215,23.9878122240783,26.1316945940107
"ENSMUSG00000000049",15.4973751917201,22.3966179525754,19.8259092801358,14.135801674804,21.458077652632,38.8093527244408,24.6502856318682,8.41314323312294,13.5233353191562,18.3491129818418
"ENSMUSG00000000056",449.595348946227,447.060648091106,512.604876183084,481.61472298913,454.049033003967,478.987852042402,415.187132813175,480.62353756708,442.236048180261,468.099392499657
"ENSMUSG00000000058",1225.48829693178,2105.52923904007,2088.09247416417,2515.36649026762,1876.52672535145,1655.98137178186,2198.69270222157,2196.4145876684,2305.73923791507,1898.71002525825
"ENSMUSG00000000078",3364.2499691767,4342.71234990281,3709.01811944365,3661.09271581208,2851.14440647944,3491.35828493424,4551.2436047949,3753.40667142746,3924.33696682628,2898.34720248903
"ENSMUSG00000000085",942.857147076971,969.190796193999,1169.89375701995,1032.78414781551,1044.50414336311,975.735907284464,889.476101208663,1047.80025042299,977.424281514325,1237.69333209394
"ENSMUSG00000000088",2593.83458497075,1580.17591480267,1858.04526948755,2241.03434736673,1922.54416451213,1806.85374165854,1686.11559112896,1797.77979038852,1956.7787581844,1997.91928486933
"ENSMUSG00000000093",324.745194105574,295.03788992446,321.024888458305,183.737621267894,231.07506944556,201.703018672152,266.401345141298,273.4323454975,169.582945112478,293.130681045184
"ENSMUSG00000000094",13.8395089076604,5.77206936359029,6.73539771725871,12.9494519319415,10.8121063385963,7.39921379695645,11.2454268360328,6.46381848261612,19.837221613917,10.8776534534039
"ENSMUSG00000000120",401.204088801212,67.8871852390518,427.052392073109,393.621319327705,129.117096088122,437.929490751245,94.3774676291686,435.773533786359,390.284304262817,132.176180386476
"ENSMUSG00000000125",54.2151826085496,59.4713009124744,67.4263350299501,75.3872102680408,37.4767489764696,63.1030133097268,85.8910431150175,67.2999938037056,71.4215755747871,50.5009177634891
"ENSMUSG00000000126",729.835953758882,780.557710203984,754.766849738728,608.911786261166,741.221740169543,715.235390670957,888.511017337361,759.063551201911,637.519224583149,761.787390644858
"ENSMUSG00000000127",544.024871975202,499.792236601213,489.117850191436,504.16593950265,457.591137372461,593.21658234024,489.924872519429,513.850708868568,511.298641450265,463.055019865119
"ENSMUSG00000000131",2051.77345208566,1350.62312683086,1546.94025171207,1426.01692311137,1453.33008706816,1634.83987781617,1374.07168649804,1521.05574491809,1431.09015194075,1556.45557782189
